8140	丂	gnv		kao3,yu2
8141	丄	hgd		shang4
8142	丅	ghk		xia4
8143	丆	dgt		shi2
8144	丏	ghnn		mian3
8145	丒	vygf		
8146	丗	gkgd		shi4
8147	丟	gcu		diu1
8148	丠	uxgf		qiu1
8149	両	gmmk		liang3
814A	丣	gajn	gjan	you3
814B	並	uogf	uof	bing4
814C	丩	nhk		jiu1
814D	丮	nfhk	ngk	ji3
814E	丯	ehk		jie4
814F	丱	njhg	jnhg	guan4
8150	丳	kkjk		chan3
8151	丵	oguf	oufj	zhuo2
8152	丷	uyt		ba1
8153	丼	fjyi		jing3
8154	乀	yyll		fu2
8155	乁	yyll	gyi	yi2
8156	乂	qty	rty	yi4
8157	乄	nyi		
8158	乆	nwi		jiu3
8159	乊	tur	tue	hu1
815A	乑	tii	ithy	yin2,pan1
815B	乕	rfmh		hu3
815C	乗	tgas		cheng2,sheng4
815D	乚	nnll		yin3
815E	乛	nnll		zhe2
815F	乢	mnn		gai4
8160	乣	xnn		jiu3
8161	乤	ghnb		
8162	乥	tunb		
8163	乧	ufnb		
8164	乨	cknn		shi3
8165	乪	nld		nang2
8166	乫	lknb	eknb	
8167	乬	annb		
8168	乭	dnb		
8169	乮	qtbn		
816A	乯	tuhn	tufn	
816B	乲	uqwn		
816C	乴	rrnb		xue2
816D	乵	unn		yan3
816E	乶	gehn	snb	
816F	乷	iitn		
8170	乸	bxgu	bxi	na3
8171	乹	fjnn		gan1,qian2
8172	乺	rnrn		
8173	乻	ywun		
8174	乼	iygn		
8175	乽	ftjn		
8176	乿	exin		luan4
8177	亀	qjjn		gui1
8178	亁	fjfn		gan1
8179	亂	ecmn		luan4
817A	亃	oqan	oqgn	lin4
817B	亄	fpgn		yi4
817C	亅	hhll		jue2
817D	亇	qhj		ding1
817E	亊	guvh		shi4
8180	亐	fnv		yu2
8181	亖	fff		si4
8182	亗	mff		sui4
8183	亙	ghng		gen4
8184	亜	gkjg		ya4
8185	亝	cccf		qi2,zhai1
8186	亞	ghgg	gfgd	ya1
8187	亣	yjj		da4
8188	亪	yoyu	yogy	
8189	亯	yjf		xiang3
818A	亰	yjiu		jing1
818B	亱	ywjg		ye4
818C	亴	ypfv		you4
818D	亶	ylkg		dan3
818E	亷	utvo	utvw	lian2
818F	亸	ybuf		duo3
8190	亹	ywfg	yemg	wei3,men2
8191	亼	wgf		ji2
8192	亽	wyu		ji2
8193	亾	wnv		wang2
8194	仈	wwy		ba1
8195	仌	wwu		bing1
8196	仏	wcy		fo2
8197	仐	wfj		tao1
8198	仒	wuu		bing1
8199	仚	wmj		xian1
819A	仛	wtan		cha4,tuo2
819B	仜	wag		hong2
819C	仠	wfh		gan3,han4
819D	仢	wqyy		bo2
819E	仦	wiy		chao4
819F	仧	hwu		chang2,zhang3
81A0	仩	whg		chang2
81A1	仭	wvyy		ren4
81A2	仮	wrcy		fan3
81A3	仯	witt		chao4,miao3
81A4	仱	wwyn		jing1,qian2
81A5	仴	weg		wo4
81A6	仸	wtdy		yao3,fo2
81A7	仹	wdhh		feng1
81A8	仺	wagf		cang1,chuang4
81A9	仼	wgg		wang2
81AA	仾	wgxg		di1
81AB	伀	wwcy		zhong1
81AC	伂	wgmh		pei4
81AD	伃	wcbh	wcnh	yu2
81AE	伄	wxhh		diao4
81AF	伅	wgbn		dun4
81B0	伆	wqrt		wu4
81B1	伇	wmcy	wwcy	yi4
81B2	伈	wny		xin3
81B3	伋	weyy	wbyy	ji2
81B4	伌	wdbn		ai4
81B5	伒	wrh		jin4,yin2
81B6	伓	wgiy	wdhy	pi1
81B7	伔	wpmn	wpwn	shen3
81B8	伕	wfwy	wgy	fu1
81B9	伖	wdcy		nu2,tang3
81BA	伜	wvfh		cui4,zu2
81BB	伝	wfcy		yun2
81BC	伡	wlh		che1
81BD	伣	wmqn		xian4
81BE	伨	wqug		xun4
81BF	伩	wyy		xin4
81C0	伬	wnyy		che3
81C1	伭	wyxy		xian2
81C2	伮	wvcy		nu3
81C3	伱	wwiy		ni3
81C4	伳	wann		xie4
81C5	伵	wlg		xu4
81C6	伷	wmg		zhou4
81C7	伹	wegg		qu1,zu4
81C8	伻	wguh	wguf	beng1
81C9	伾	wgig	wdhg	pi1
81CA	伿	wkwy		yi4
81CB	佀	whnn	wng	si4
81CC	佁	wckg		yi3,si4
81CD	佂	wghg		zheng1
81CE	佄	wafg	wfg	han1,gan4
81CF	佅	wfiy	wfy	mai4
81D0	佇	wpsh		zhu4
81D1	佈	wdmh		bu4
81D2	佉	wfcy		qu1
81D3	佊	whcy	wby	bi3
81D4	佋	wvkg		zhao1,shao4
81D5	佌	whxn		ci3
81D6	佒	wmdy		yang3
81D7	佔	whkg		chan1,zhan4
81D8	佖	wntt		bi4
81D9	佡	wwmh		xian1
81DA	佢	wang		qu2
81DB	佦	wdg		shi2
81DC	佨	wqnn		bao1
81DD	佪	wlkg		huai2
81DE	佫	wtkg		he4,ge2
81DF	佭	wtah	wtgh	xiang2
81E0	佮	wwgk		ge2
81E1	佱	wfhf		fa3
81E2	佲	wqkg		ming3
81E3	併	wuah		bing4
81E4	佷	wvey	wvy	hen3,heng2
81E5	佸	wtdg		huo2
81E6	佹	wqdb		gui3
81E7	佺	wwgg		quan2
81E8	佽	wuqw		ci4
81E9	侀	wgaj		xing2
81EA	侁	wtfq		shen1
81EB	侂	wyta	wota	tuo1
81EC	侅	wynw		gai1,hai4
81ED	來	swwi		lai2
81EE	侇	wgxw		yi2
81EF	侊	wiqn	wigq	guang1
81F0	侌	wync		yin1
81F1	侎	woy		mi3
81F2	侐	wtlg		xu4
81F3	侒	wpvg		an1
81F4	侓	wvfh	wvgh	lu4
81F5	侕	wdmj		er2
81F6	侖	wgma		lun2
81F7	侘	wpta		cha4
81F8	侙	waag	waay	chi1
81F9	侚	wqjg		xun4
81FA	侜	wtey	wtuy	zhou1
81FB	侞	wvkg		ru2
81FC	侟	wdhb		cun2,jian4
81FD	価	wsg		si4
81FE	侢	wgmf		dai4
8240	侤	wftn		
8241	侫	wynv		ning4
8242	侭	wnyu		jin4
8243	侰	wvtk		jiong3
8244	侱	wkgg		cheng3
8245	侲	wdfe		zhen4
8246	侳	wwwf		zuo4
8247	侴	wgnj		chou3
8248	侶	wktk		lv3
8249	侷	wnnk		ju2
824A	侸	wgku		dou1,shu4
824B	侹	wtfp		ting3
824C	侺	wmwn		shen4
824D	侻	wukq		tui4,tuo1
824E	侼	wfpb		bo2
824F	侽	wlln	wlet	nan2
8250	侾	wftb		xiao1
8251	俀	wevg		tui3
8252	俁	wknd		yu3
8253	係	wtxi		xi4
8254	俆	wwty	wwgs	xu2,shu1
8255	俇	wqtg		guang4
8256	俈	wtfk		ku4
8257	俉	wgkg		wu3
8258	俋	wkcn		yi4
8259	俌	wgey	wsy	fu3
825A	俍	wyve	wyvy	liang2,lang3
825B	俒	wpfq		hun4
825C	俓	wgva		jing4,ying2
825D	俔	whqn		xian4
825E	俕	wpsy		san4
825F	俖	wgik	wdhk	pei3
8260	俙	wqdh	wrdh	xi1
8261	俛	wqkq		mian3
8262	俠	wdww		xia2
8263	俢	wtet		xiu1
8264	俤	wuxt		di4
8265	俥	wlh		ju1
