'zeng'yi 曾毅
'yin'yue 音乐
'jin'xing 进行
'liao'jie 了解
'diao'cha 调查
'mu'di 目的
'ji'ou 奇偶
'he'le 饸饹
'xing'wei 行为
'zhi'xing 执行
'chong'qing 重庆
'shi'xing 实行
'ju'xing 举行
'diao'yan 调研
'gan'jue 感觉
'chang'qi 长期
'yun'xing 运行
'liu'xing 流行
'jue'de 觉得
'zhu'ming 著名
'qiang'diao 强调
'xing'dong 行动
'chong'xin 重新
'xian'zhu 显著
'fa'xing 发行
'chang'de 长的
'bu'liao 不了
'zi'jue 自觉
'zi'xing 自行
'xi'zang 西藏
'chang'chun 长春
'zi'xi 仔细
'chang'sha 长沙
'lv'xing 履行
'jue'se 角色
'pian'yi 便宜
'chang'jiang 长江
'chong'fu 重复
'zan'xing 暂行
'bu'xing 不行
'di'que 的确
'chang'cheng 长城
'chang'du 长度
'tui'xing 推行
'ke'xing 可行
'shi'jue 视觉
'cai'xing 才行
'chang'yuan 长远
'hu'yu 呼吁
'chong'zu 重组
'fei'xing 飞行
'yi'xing 一行
'diao'dong 调动
'zui'chang 最长
'zhuo'li 着力
'mo'shou 没收
'zhu'jue 主角
'zhu'su 住宿
'chang'an 长安
'xian'xing 现行
'su'she 宿舍
'suo'chang 所长
'shuang'chong 双重
'zhu'zuo 著作
'zhuo'yan 着眼
'tan'xing 弹性
'chang'da 长达
'zhuo'zhong 着重
'chu'xing 出行
'ling'xing 另行
'xing'zou 行走
'chuan'zhuo 穿着
'chong'jian 重建
'bo'ruo 薄弱
'chi'bang 翅膀
'qing'diao 情调
'fan'tan 反弹
'diao'du 调度
'chang'tu 长途
'hai'dei 还得
'chang'jiu 长久
'zhao'ji 着急
'jiao'chang 较长
'hen'chang 很长
'jiu'dei 就得
'tong'xing 通行
'xie'lou 泄露
'dui'chen 对称
'te'chang 特长
'jiu'xing 就行
'man'chang 漫长
'chu'chai 出差
'tan'chu 弹出
'qiang'xing 强行
'fa'jue 发觉
'chong'chong 重重
'bu'jue 不觉
'duan'di 端的
'xing'li 行李
'bi'chang 臂长
'xian'dei 先得
'biao'di 标的
'shan'chang 擅长
'ye'dei 也得
'diao'yong 调用
'hai'xing 还行
'qing'bo 轻薄
'chong'hui 重回
'chang'shou 长寿
'xing'cheng 行程
'chang'hong 长虹
'di'ge 的哥
'duo'chong 多重
'chang'lang 长廊
'sha'che 刹车
'chong'qi 重启
'chang'zheng 长征
'duo'chang 多长
'di'diao 低调
'chong'shen 重申
'xing'che 行车
'yan'xing 言行
'ye'xing 也行
'ming'liao 明了
'bo'lin 柏林
'xing'ren 行人
'chong'fan 重返
'chong'xian 重现
'er'xing 而行
'zhuo'shou 着手
'xing'zheng 行政
'du'se 堵塞
'dei'jian 得见
'hu'po 湖泊
'chang'duan 长短
'se'diao 色调
'qian'xing 前行
'jian'bang 肩膀
'jue'zhu 角逐
'bing'xing 并行
'chao'chang 超长
'chang'fa 长发
'qing'zang 青藏
'zhuo'xiang 着想
'wai'zhuan 外传
'tan'huang 弹簧
'sheng'xing 盛行
'zhu'cheng 著称
'chong'sheng 重生
'dei'you 得有
'bian'zhu 编著
'ping'xing 平行
'zhuo'zhuang 着装
'chou'diao 抽调
'chong'da 重打
'dan'diao 单调
'chong'wen 重温
'dou'dei 都得
'liao'wu 了无
'jue'wu 觉悟
'shui'zhao 睡着
'geng'chang 更长
'tai'chang 太长
'zhao'qi 朝气
'yi'zhuo 衣着
'yan'mo 淹没
'zhuo'shi 着实
'lun'zhu 论著
'shang'xing 上行
