ㄚ	a
ㄞ	ai
ㄢ	an
ㄤ	ang
ㄠ	ao
ㄅㄚ	ba
ㄅㄞ	bai
ㄅㄢ	ban
ㄅㄤ	bang
ㄅㄠ	bao
ㄅㄟ	bei
ㄅㄣ	ben
ㄅㄥ	beng
ㄅㄧ	bi
ㄅㄧㄢ	bian
ㄅㄧㄠ	biao
ㄅㄧㄝ	bie
ㄅㄧㄣ	bin
ㄅㄧㄥ	bing
ㄅㄛ	bo
ㄅㄨ	bu
ㄘㄚ	ca
ㄘㄞ	cai
ㄘㄢ	can
ㄘㄤ	cang
ㄘㄠ	cao
ㄘㄜ	ce
ㄘㄣ	cen
ㄘㄥ	ceng
ㄔㄚ	cha
ㄔㄞ	chai
ㄔㄢ	chan
ㄔㄤ	chang
ㄔㄠ	chao
ㄔㄜ	che
ㄔㄣ	chen
ㄔㄥ	cheng
ㄔㄨㄥ	chong
ㄔㄡ	chou
ㄔㄨ	chu
ㄔㄨㄞ	chuai
ㄔㄨㄢ	chuan
ㄔㄨㄤ	chuang
ㄔㄨㄟ	chui
ㄔㄨㄣ	chun
ㄔㄨㄛ	chuo
ㄘㄨㄥ	cong
ㄘㄡ	cou
ㄘㄨ	cu
ㄘㄨㄢ	cuan
ㄘㄨㄟ	cui
ㄘㄨㄣ	cun
ㄘㄨㄛ	cuo
ㄉㄚ	da
ㄉㄞ	dai
ㄉㄢ	dan
ㄉㄤ	dang
ㄉㄠ	dao
ㄉㄜ	de
ㄉㄟ	dei
ㄉㄥ	deng
ㄉㄧ	di
ㄉㄧㄢ	dian
ㄉㄧㄠ	diao
ㄉㄧㄝ	die
ㄉㄧㄥ	ding
ㄉㄧㄡ	diu
ㄉㄨㄥ	dong
ㄉㄡ	dou
ㄉㄨ	du
ㄉㄨㄢ	duan
ㄉㄨㄟ	dui
ㄉㄨㄣ	dun
ㄉㄨㄛ	duo
ㄜ	e
ㄝ	ê
ㄟ	ei
ㄣ	en
ㄥ	eng
ㄦ	er
ㄈㄚ	fa
ㄈㄢ	fan
ㄈㄤ	fang
ㄈㄟ	fei
ㄈㄣ	fen
ㄈㄥ	feng
ㄈㄛ	fo
ㄈㄡ	fou
ㄈㄨ	fu
ㄍㄚ	ga
ㄍㄞ	gai
ㄍㄢ	gan
ㄍㄤ	gang
ㄍㄠ	gao
ㄍㄜ	ge
ㄍㄟ	gei
ㄍㄣ	gen
ㄍㄥ	geng
ㄍㄨㄥ	gong
ㄍㄡ	gou
ㄍㄨ	gu
ㄍㄨㄚ	gua
ㄍㄨㄞ	guai
ㄍㄨㄢ	guan
ㄍㄨㄤ	guang
ㄎㄨㄤ	kuang
ㄍㄨㄟ	gui
ㄍㄨㄣ	gun
ㄍㄨㄛ	guo
ㄏㄚ	ha
ㄏㄞ	hai
ㄏㄢ	han
ㄏㄤ	hang
ㄏㄠ	hao
ㄏㄜ	he
ㄏㄟ	hei
ㄏㄣ	hen
ㄏㄥ	heng
ㄏㄨㄥ	hong
ㄏㄡ	hou
ㄏㄨ	hu
ㄏㄨㄚ	hua
ㄏㄨㄞ	huai
ㄏㄨㄢ	huan
ㄏㄨㄤ	huang
ㄏㄨㄟ	hui
ㄏㄨㄣ	hun
ㄏㄨㄛ	huo
ㄐㄧ	ji
ㄐㄧㄚ	jia
ㄐㄧㄢ	jian
ㄐㄧㄤ	jiang
ㄐㄧㄠ	jiao
ㄐㄧㄝ	jie
ㄐㄧㄣ	jin
ㄐㄧㄥ	jing
ㄐㄩㄥ	jiong
ㄐㄧㄡ	jiu
ㄐㄩ	ju
ㄐㄩㄢ	juan
ㄐㄩㄝ	jue
ㄐㄩㄣ	jun
ㄎㄚ	ka
ㄎㄞ	kai
ㄎㄢ	kan
ㄎㄤ	kang
ㄎㄠ	kao
ㄎㄜ	ke
ㄎㄣ	ken
ㄎㄥ	keng
ㄎㄨㄥ	kong
ㄎㄡ	kou
ㄎㄨ	ku
ㄎㄨㄚ	kua
ㄎㄨㄞ	kuai
ㄎㄨㄢ	kuan
ㄎㄨㄟ	kui
ㄎㄨㄣ	kun
ㄎㄨㄛ	kuo
ㄌㄚ	la
ㄌㄞ	lai
ㄌㄢ	lan
ㄌㄤ	lang
ㄌㄠ	lao
ㄌㄜ	le
ㄌㄟ	lei
ㄌㄥ	leng
ㄌㄧ	li
ㄌㄧㄚ	lia
ㄌㄧㄢ	lian
ㄌㄧㄤ	liang
ㄌㄧㄠ	liao
ㄌㄧㄝ	lie
ㄌㄧㄣ	lin
ㄌㄧㄥ	ling
ㄌㄧㄡ	liu
ㄌㄛ	lo
ㄌㄨㄥ	long
ㄌㄡ	lou
ㄌㄨ	lu
ㄌㄨㄢ	luan
ㄌㄩㄝ	lue
ㄌㄨㄣ	lun
ㄌㄨㄛ	luo
ㄌㄩ	lv
ㄇㄚ	ma
ㄇㄞ	mai
ㄇㄢ	man
ㄇㄤ	mang
ㄇㄠ	mao
ㄇㄟ	mei
ㄇㄣ	men
ㄇㄥ	meng
ㄇㄧ	mi
ㄇㄧㄢ	mian
ㄇㄧㄠ	miao
ㄇㄧㄝ	mie
ㄇㄧㄣ	min
ㄇㄧㄥ	ming
ㄇㄧㄡ	miu
ㄇㄛ	mo
ㄇㄡ	mou
ㄇㄨ	mu
ㄋㄚ	na
ㄋㄞ	nai
ㄋㄢ	nan
ㄋㄤ	nang
ㄋㄠ	nao
ㄋㄜ	ne
ㄋㄟ	nei
ㄋㄣ	nen
ㄋㄥ	neng
ㄋㄧ	ni
ㄋㄧㄢ	nian
ㄋㄧㄤ	niang
ㄋㄧㄠ	niao
ㄋㄧㄝ	nie
ㄋㄧㄣ	nin
ㄋㄧㄥ	ning
ㄋㄧㄡ	niu
ㄋㄨㄥ	nong
ㄋㄨ	nu
ㄋㄨㄢ	nuan
ㄋㄩㄝ	nue
ㄋㄨㄛ	nuo
ㄋㄩ	nv
ㄛ	o
ㄡ	ou
ㄆㄚ	pa
ㄆㄞ	pai
ㄆㄢ	pan
ㄆㄤ	pang
ㄆㄠ	pao
ㄆㄟ	pei
ㄆㄣ	pen
ㄆㄥ	peng
ㄆㄧ	pi
ㄆㄧㄢ	pian
ㄆㄧㄠ	piao
ㄆㄧㄝ	pie
ㄆㄧㄣ	pin
ㄆㄧㄥ	ping
ㄆㄛ	po
ㄆㄡ	pou
ㄆㄨ	pu
ㄑㄧ	qi
