'an 按
'ba 把
'ban'ben 版本
'bang'zhu 帮助
'bang'zhu 帮助
'ben'di 本地
'bi'ru 比如
'bian'xie 编写
'bian'yi 变异
'bian'yi'bao'cuo 编译报错
'bing 并
'bu'neng 不能
'bu'shang 补上
'bu'shi 不是
'can'kao 参考
'can'shu 参数
'ce'shi 测试
'cheng 成
'cheng'xu 程序
'chong'gou 重构
'ci'ku 词库
'ci'ku 词库
'dai'ma 代码
'dan'shi 但是
'dang 当
'dang'qian 当前
'dao 到
'dao'chu 导出
'dao'ru 导入
'de 的
'dong'tai 动态
'dui 对
'er 二
'er'shi'si 二十四
'ge'shi 格式
'gei 给
'gen'shang 跟上
'geng'duo 更多
'geng'xin 更新
'gong'neng 功能
'guan'fang 官方
'guang'da 光大
'gui'lv 规律
'guo'cheng 过程
'he 和
'hou 后
'huo'de 获得
'ji'cheng 集成
'jie'mian 界面
'jin'xing 进行
'jiu 就
'kan'kan 看看
'ke'yi 可以
'la'qu 拉取
'lai 来
'le 了
'li'mian 里面
'ling'pai 令牌
'luan'ma 乱码
'ma 吗
'man'zu 满足
'mei'you 没有
'mi'ma 密码
'ming 名
'ming'ci 名词
'ming'ling'hang 命令行
'neng'bu'neng 能不能
'ni 你
'qi'shi 其实
'qin 亲
'qing 请
'qing 请
'qing'xiu'fu 请修复
'ru'guo 如果
'shan 山
'shan'chu 删除
'she'ji 设计
'shen'lan 深蓝
'shen'qing 申请
'sheng'chan 生产
'shi 时
'shi 是
'shi'ba 是吧
'shi'bai 失败
'shi'bu'shi 是不是
'shi'xian 实现
'shu'ru'fa 输入法
'shuo'ming 说明
'sou'gou 搜狗
'suan'le 算了
'ti'jiao 提交
'wei 为
'wen'jian 文件
'wen'jian'ming 文件名
'wo 我
'xi'wang 希望
'xia 下
'xia'zai 下载
'xian'shi 显示
'xian'zai 现在
'xiang'guan 相关
'xiang'mu 项目
'xie'si 写死
'xin 心
'xin 新
'xiu'fu 修复
'xiu'gai 修改
'xiu'zheng 修正
'xu'yao 需要
'yan'zheng 验证
'ye'jie 业界
'ye'shi 也是
'yi'ge 一个
'yi'xia 一下
'yin'hang 银行
'ying'gai 应该
'yong 用
'yong'dao 用到
'you 又
'you'hua 优化
'you'wen'ti 有问题
'yuan 源
'yun'xing 运行
'zai 再
'zai 在
'zai'xian 在线
'zeng'cheng 曾诚
'zeng'cheng 曾诚
'zeng'yi 曾毅
'zhao'chu 找出
'zhe'ge 这个
'zheng'chang 正常
'zheng'ge 整个
'zhi'chi 支持
'zhi'jie 直接
'zhi'qian 之前
'zhong 中
'zhu'xin'suan 珠心算
'zhuan'huan 转换
'zhuan'jia 专家
'zui'hou 最后
'zui'jia 最佳
'zui'xin 最新
'c'a ca
'c'd cd
'c'l'i cli
'g'i gi
'g'i't'e'e gitee
'g'i't'h'u'b github
'g'u'i GUI
'm'a's't'e'r master
'm'e't'a'd'a't'a metadata
'p'u'l'l pull
'p'u's'h push
's'c'e'l scel
's'h'u shu
't'e's't test
't's ts
't'x't txt
'w'i'n'd'o'w's Windows
'w'i'n'f'o'r'm WinForm
'w'p'f WPF
