全拼	小鹤双拼	自然码	微软双拼	智能ABC	紫光拼音	拼音加加	星空键道	大牛双拼	小浪双拼
lv	lv	lv	ly	lv	lv	lv	lv	lv	lx
lve	lt	lt	lt	lm	ln	lx	ly	lx	lb
lue	lt	lt	lt	lm	ln	lx	ly	lx	lb
nv	nv	nv	ny	nv	nv	nv	nv	nv	nx
nve	nt	nt	nt	nm	nn	nx	ny	nx	nb
nue	nt	nt	nt	nm	nn	nx	ny	nx	nb
a	aa	aa	oa	oa	oa	aa	xa	ea	aa
o	oo	oo	oo	oo	oo	oo	xo	eo	oo
e	ee	ee	oe	oe	oe	ee	xe	ee	uu
ai	ai	ai	ol	ol	op	as	xj	eh	ai
ei	ei	ei	oz	oq	ok	ew	xw	ew	ui
ao	ao	ao	ok	ok	oq	ad	xs	es	ao
ou	ou	ou	ob	ob	oz	op	xt	er	ou
an	an	an	oj	oj	or	af	xd	ed	an
en	en	en	of	of	ow	er	xk	ek	un
ang	ah	ah	oh	oh	os	ag	xf	ef	ah
eng	eg	eg	og	og	ot	et	xh	ej	un
er	er	er	or	or	oj	eq	xu	eu	ur
yi	yi	yi	yi	yi	yi	yi	yi	yi	yi
ya	ya	ya	ya	ya	ya	ya	ya	ya	ya
yo	yo	yo	yo	yo	yo	yo	yo	yo	yo
ye	ye	ye	ye	ye	ye	ye	ye	ye	ye
yao	yc	yk	yk	yk	yq	yd	ys	ys	ys
you	yz	yb	yb	yb	yz	yp	yt	yr	yr
yan	yj	yj	yj	yj	yr	yf	yd	yd	yj
yin	yb	yn	yn	yc	yy	yl	yb	yb	yd
yang	yh	yh	yh	yh	ys	yg	yf	yf	yh
ying	yk	yy	y;	yy	yc	yq	yg	yg	yv
wu	wu	wu	wu	wu	wu	wu	wj	wu	wu
wa	wa	wa	wa	wa	wa	wa	ws	wa	wa
wo	wo	wo	wo	wo	wo	wo	wo	wo	wo
wai	wd	wl	wl	wl	wp	ws	wh	wh	wk
wei	ww	wz	wz	wq	wk	ww	ww	ww	ww
wan	wj	wj	wj	wj	wr	wf	wf	wd	wj
wen	wf	wf	wf	wf	ww	wr	wn	wk	wm
wang	wh	wh	wh	wh	ws	wg	wp	wf	wh
weng	wg	wg	wg	wg	wt	wt	wr	wj	wn
yu	yu	yu	yu	yu	yu	yu	yv	yu	yu
yue	yt	yt	yt	ym	yn	yx	yy	yh	yb
yuan	yr	yr	yr	yp	yl	yc	yr	yj	yg
yun	yy	yp	yp	yn	ym	yz	yw	yw	yy
yong	ys	ys	ys	ys	yh	yy	yl	yl	yl
ba	ba	ba	ba	ba	ba	ba	ba	ba	ba
bai	bd	bl	bl	bl	bp	bs	bj	bh	bk
ban	bj	bj	bj	bj	br	bf	bd	bd	bj
bang	bh	bh	bh	bh	bs	bg	bf	bf	bh
bao	bc	bk	bk	bk	bq	bd	bs	bs	bs
bei	bw	bz	bz	bq	bk	bw	bw	bw	bw
ben	bf	bf	bf	bf	bw	br	bk	bk	bm
beng	bg	bg	bg	bg	bt	bt	bh	bj	bn
bi	bi	bi	bi	bi	bi	bi	bi	bi	bi
bian	bm	bm	bm	bw	bf	bj	bm	bc	bf
biang	bl	bd	bd	bt	bg	bh	bx	bn	bm
biao	bn	bc	bc	bz	bb	bk	bp	bm	bc
bie	bp	bx	bx	bx	bd	bm	bc	bp	bp
bin	bb	bn	bn	bc	by	bl	bb	bb	bd
bing	bk	by	b;	by	bc	bq	bg	bg	bv
bo	bo	bo	bo	bo	bo	bo	bo	bo	bo
bu	bu	bu	bu	bu	bu	bu	bu	bu	bu
ca	ca	ca	ca	ca	ca	ca	ca	ca	ca
cai	cd	cl	cl	cl	cp	cs	cj	ch	ck
can	cj	cj	cj	cj	cr	cf	cd	cd	cj
cang	ch	ch	ch	ch	cs	cg	cf	cf	ch
cao	cc	ck	ck	ck	cq	cd	cs	cs	cs
ce	ce	ce	ce	ce	ce	ce	ce	ce	ce
cen	cf	cf	cf	cf	cw	cr	ck	ck	cm
ceng	cg	cg	cg	cg	ct	ct	ch	cj	cn
cha	ia	ia	ia	ea	aa	ua	ja	ia	ia
chai	id	il	il	el	ap	us	jj	ih	ik
chan	ij	ij	ij	ej	ar	uf	jd	id	ij
chang	ih	ih	ih	eh	as	ug	jf	if	ih
chao	ic	ik	ik	ek	aq	ud	js	is	is
che	ie	ie	ie	ee	ae	ue	je	ie	ie
