'jiao'gai 校改
'jiao'zheng 校正
'jiao'dui 校对
'jiao'ding 校订
'jiao'dian 校点
'jiao'kan 校勘
'kan'jiao 勘校
'jiao'zhun 校准
'can'jiao 参校
'jiao'zhu 校注
'jiao'chou 校雠
'jiao'chang 校场
'fan'er'bu'jiao 犯而不校
'mu'zi 模子
'mu'yang 模样
'yi'mu'yi'yang 一模一样
'yu'tie 熨帖
'gai'lv 概率
'ji'lv 几率
'hui'lv 汇率
'tong'xiu 铜臭
'ning'xi 苎烯
'xu'shi 圩市
'xu'zhen 圩镇
'xu'chang 圩场
'xu'ri 圩日
'gan'xu 赶圩
'xia'men 厦门
'zhang'bei 长辈
'zhang'zi 长子
'zhang'nv 长女
'zhang'xong 长兄
'xiong'zhang 兄长
'shou'zhang 首长
'zhang'guan 长官
'zhang'da 长大
'zhang'gao 长高
'cheng'zhang 成长
'nian'zhang 年长
'dao'zhang 道长
'zu'zhang 组长
'zu'zhang 族长
'xiao'zhang 校长
'yuan'zhang 院长
'yuan'zhang 园长
'jia'zhang 家长
'dui'zhang 队长
'ban'zhang 班长
'bu'zhang 部长
'chang'zhang 厂长
'dian'zhang 店长
'lian'zhang 连长
'tuan'zhang 团长
'ying'zhang 营长
'jun'zhang 军长
'lv'zhang 旅长
'pai'zhang 排长
'shi'zhang 师长
'shi'zhang 市长
'cun'zhang 村长
'zhen'zhang 镇长
'xian'zhang 县长
'sheng'zhang 省长
'wei'yuan'zhang 委员长
'can'mou'zhang 参谋长
'chu'zhang 处长
'qu'zhang 区长
'ke'zhang 科长
'ju'zhang 局长
'ting'zhang 厅长
'fan'xing 反省
'xing'wu 省悟
'xing'qin 省亲
'xing'shi 省视
'xing'wen 省问
'shen'xing 深省
'bu'xing'ren'shi 不省人事
'san'xing'wu'shen 三省吾身
'xing'cha 省察
'zi'xing 自省
'nei'xing 内省
'yi'jiao 一觉
'lan'jiao 懒觉
'shui'jiao 睡觉
'wu'jiao 午觉
'shui'da'jiao 睡大觉
'kun'jiao 困觉
'que'jiao 缺觉
'hao'jiao 好觉
'dao'heng 道行
'da'heng 大行
'tai'hang'shan 太行山
'jing'hang 景行
'jing'hang'xing'zhi 景行行止
'yi'hang'hang 一行行
'hang'hang'chu'zhuang'yuan 行行出状元
'hang'lie 行列
'cheng'hang 成行
'ji'hang 几行
'yin'hang 银行
'fen'hang 分行
'zhi'hang 支行
'zong'hang 总行
'chuan'hang 串行
'gai'hang 改行
'hang'jia 行家
'ge'hang 隔行
'ge'hang 各行
'pai'hang 排行
'hang'zhang 行长
'hang'shou 行首
'hang'wei 行尾
'hang'ju 行距
'hang'jian'ju 行间距
'hang'kuan 行宽
'hang'gao 行高
'shang'hang 商行
'hang'ye 行业
'hang'dang 行当
'hang'qing 行情
'hang'hua 行话
'ben'hang 本行
'hang'huo 行货
'dong'hang 懂行
'zeng'yi 曾毅
'zeng'sun 曾孙
'xiao'zeng 小曾
'zeng'zu 曾祖
'zeng'gong 曾巩
'xing'zeng 姓曾
'lao'zeng 老曾
'zeng'shen 曾参
'zeng'zhi'wei 曾志伟
'zeng'guo'fan 曾国藩
'zeng'bao'yi 曾宝仪
'zeng'shen'sha'ren 曾参杀人
'liao'jie 了解
'bu'liao 不了
'ming'liao 明了
'liao'wu 了无
'liao'shi 了事
'liao'que 了却
'zhong'liao 终了
'wei'liao 未了
'liao'duan 了断
'liao'ran 了然
'mo'liao 末了
'si'liao 私了
'zhi'liao 知了
'liao'jie 了结
'gong'liao 公了
'liao'zhang 了账
'liao'liao 了了
'liao'bu'qi 了不起
'liao'ru'zhi'zhang 了如指掌
'zhi'jie'liao'dang 直截了当
'yi'liao'bai'liao 一了百了
'yi'liao'bai'dang 一了百当
'xiao'shi'hua'liao 小事化了
'yi'xiao'liao'zhi 一笑了之
'yi'si'liao'zhi 一死了之
'ga'li 咖喱
'yin'yue 音乐
'yuan'yao'yu'wen 愿乐欲闻
'yao'ting 乐听
'yue'fu 乐府
'yue'dui 乐队
'yue'tuan 乐团
'sheng'yue 声乐
'guan'yue 管乐
'zou'yue 奏乐
'qi'yue 器乐
'yue'qi 乐器
'diao'cha 调查
'diao'yan 调研
'diao'dong 调动
'qing'diao 情调
'diao'yong 调用
'di'diao 低调
'chou'diao 抽调
'ge'diao 格调
'diao'ru 调入
'diao'huan 调换
'gao'diao 高调
'diao'bo 调拨
'ji'diao 基调
'diao'chu 调出
'diao'li 调离
'diao'ji 调集
'yu'diao 语调
'diao'yun 调运
'sheng'diao 声调
'diao'ren 调任
'lun'diao 论调
'yin'diao 音调
'xiao'diao 小调
'diao'zi 调子
'diao'hui 调回
'diao'dao 调到
'diao'yue 调阅
'diao'zhuan 调转
'diao'qu 调取
'diao'bing 调兵
'diao'qian 调遣
'diao'dang 调档
'dui'diao 对调
'lao'diao 老调
'bian'diao 变调
'wai'diao 外调
'zheng'diao 征调
'diao'zhi 调职
'diao'bao 调包
'qiang'diao 腔调
'diao'zhi 调至
'qu'diao 曲调
'bu'diao 步调
'pao'diao 跑调
'jie'diao 借调
'zou'diao 走调
'diao'ling 调令
'diao'pai 调派
'fan'diao 反调
'diao'men 调门
'qing'diao 请调
'yun'diao 韵调
'han'diao 函调
'yong'tan'diao 咏叹调
'nan'shui'bei'diao 南水北调
'shui'diao'ge'tou 水调歌头
'chen'ci'lan'diao 陈词滥调
'you'qiang'hua'diao 油腔滑调
'diao'hu'li'shan 调虎离山
'nan'qiang'bei'diao 南腔北调
'na'qiang'na'diao 拿腔拿调
'diao'diao 调调
'diao'hao 调号
'diao'lei 调类
'diao'shi 调式
'diao'tou 调头
'diao'zhi 调值
'cai'diao 彩调
'ci'diao 词调
'da'diao 大调
'gong'diao 宫调
'hui'diao 徽调
'lan'diao 滥调
'se'diao 色调
'ru'diao 入调
'shi'diao 时调
'tong'diao 同调
'yi'diao 移调
'zhu'diao 主调
'zhuan'diao 转调
'zi'diao 字调
'gu'diao'bu'tan 古调不弹
'ye'diao'wu'qiang 野调无腔
'chang'gao'diao 唱高调
'gao'ping'diao 高平调
'gao'sheng'diao 高升调
'qu'sheng'diao 去声调
'quan'jiang'diao 全降调
'shang'sheng'diao 上声调
'yang'ping'diao 阳平调
'yin'ping'diao 阴平调
'yang'qiang'guai'diao 洋腔怪调
'diao'cha 调茬
'diao'du 调度
'diao'fang 调防
'diao'fu 调赴
'diao'gan 调干
'diao'juan 调卷
'diao'pei 调配
'diao'sai 调赛
'diao'xun 调训
'diao'yan 调演
'diao'zou 调走
