a	aa
ai	ai
an	an
ang	ah
ao	ao
ba	ba
bai	bd
ban	bj
bang	bh
bao	bc
bei	bw
ben	bf
beng	bg
bi	bi
bian	bm
biao	bn
bie	bp
bin	b
bing	bk
bo	bo
bu	bu
ca	ca
cai	cd
can	cj
cang	ch
cao	cc
ce	ce
cen	cf
ceng	cg
ch	i
cha	ia
chai	id
chan	ij
chang	ih
chao	ic
che	ie
chen	if
cheng	ig
chi	ii
chong	is
chou	iz
chu	iu
chua	ix
chuai	ik
chuan	ir
chuang	il
chui	iv
chun	iy
chuo	io
ci	ci
cong	cs
cou	cz
cu	cu
cuan	cr
cui	cv
cun	cy
cuo	co
da	da
dai	dd
dan	dj
dang	dh
dao	dc
de	de
dei	dw
den	df
deng	dg
di	di
dia	dx
dian	dm
diao	dn
die	dp
ding	dk
diu	dq
dong	ds
dou	dz
du	du
duan	dr
dui	dv
dun	dy
duo	do
e	ee
ei	ei
en	en
eng	eg
er	er
fa	fa
fan	fj
fang	fh
fei	fw
fen	ff
feng	fg
fiao	fn
fo	fo
fou	fz
fu	fu
ga	ga
gai	gd
gan	gj
gang	gh
gao	gc
ge	ge
gei	gw
gen	gf
geng	gg
gong	gs
gou	gz
gu	gu
gua	gx
guai	gk
guan	gr
guang	gl
gui	gv
gun	gy
guo	go
ha	ha
hai	hd
han	hj
hang	hh
hao	hc
he	he
hei	hw
hen	hf
heng	hg
hong	hs
hou	hz
hu	hu
hua	hx
huai	hk
huan	hr
huang	hl
hui	hv
hun	hy
huo	ho
ji	ji
jia	jx
jian	jm
jiang	jl
jiao	jn
jie	jp
jin	jb
jing	jk
jiong	js
jiu	jq
ju	ju
juan	jr
jue	jt
jun	jy
ka	ka
kai	kd
kan	kj
kang	kh
kao	kc
ke	ke
kei	kw
ken	kf
keng	kg
kong	ks
kou	kz
ku	ku
kua	kx
kuai	kk
kuan	kr
kuang	kl
kui	kv
kun	ky
kuo	ko
la	la
lai	ld
lan	lj
lang	lh
lao	lc
le	le
lei	lw
leng	lg
li	li
lia	lx
lian	lm
liang	ll
liao	ln
lie	lp
lin	lb
ling	lk
liu	lq
long	ls
lou	lz
lu	lu
luan	lr
lue	lt
lun	ly
luo	lo
lv	lv
ma	ma
mai	md
man	mj
mang	mh
mao	mc
me	me
mei	mw
men	mf
meng	mg
mi	mi
mian	mm
miao	mn
mie	mp
min	mb
ming	mk
miu	mq
mo	mo
mou	mz
mu	mu
na	na
nai	nd
nan	nj
nang	nh
nao	nc
ne	ne
nei	nw
nen	nf
neng	ng
ni	ni
nian	nm
niang	nl
niao	nn
nie	np
nin	nb
ning	nk
niu	nq
nong	ns
nou	nz
nu	nu
nuan	nr
nue	nt
nun	ny
nuo	no
nv	nv
o	oo
ou	ou
pa	pa
pai	pd
pan	pj
pang	ph
pao	pc
pei	pw
pen	pf
peng	pg
pi	pi
pian	pm
piao	pn
pie	pp
pin	pb
ping	pk
po	po
pou	pz
pu	pu
qi	qi
qia	qx
qian	qm
qiang	ql
qiao	qn
qie	qp
qin	qb
qing	qk
qiong	qs
qiu	qq
qu	qu
quan	qr
que	qt
qun	qy
ran	rj
rang	rh
rao	rc
re	re
ren	rf
reng	rg
ri	ri
rong	rs
rou	rz
ru	ru
rua	rx
ruan	rr
rui	rv
run	ry
ruo	ro
sa	sa
sai	sd
san	sj
sang	sh
sao	sc
se	se
sei	sw
sen	sf
seng	sg
sh	u
sha	ua
shai	ud
shan	uj
shang	uh
shao	uc
she	ue
shei	uw
shen	uf
sheng	ug
shi	ui
shou	uz
shu	uu
shua	ux
shuai	uk
shuan	ur
shuang	ul
shui	uv
shun	uy
shuo	uo
si	si
song	ss
sou	sz
su	su
suan	sr
sui	sv
sun	sy
suo	so
ta	ta
tai	td
tan	tj
tang	th
tao	tc
te	te
tei	tw
teng	tg
ti	ti
tian	tm
tiao	tn
tie	tp
ting	td
tong	ts
tou	tz
tu	tu
tuan	tr
tui	tv
tun	ty
tuo	to
wa	wa
wai	wd
wan	wj
wang	wh
wei	ww
wen	wf
weng	wg
wo	wo
wu	wu
xi	xi
xia	xx
xian	xm
xiang	xl
xiao	xn
xie	xp
xin	xb
xing	xk
xiong	xs
xiu	xq
xu	xu
xuan	xr
xue	xt
xun	xy
ya	ya
yan	yj
yang	yh
yao	yc
ye	ye
yi	yi
yin	yb
ying	yk
yo	yo
yong	ys
you	yz
yu	yu
yuan	yr
yue	yt
yun	yy
za	za
zai	zd
zan	zj
zang	zh
zao	zc
ze	ze
zei	zw
zen	zf
zeng	zg
zh	v
zha	va
zhai	vd
zhan	vj
zhang	vh
zhao	vc
zhe	ve
zhen	vf
zheng	vg
zhi	vi
zhong	vs
zhou	vz
zhu	vu
zhua	vx
zhuai	vk
zhuan	vr
zhuang	vl
zhui	vv
zhun	vy
zhuo	vo
zi	zi
zong	zs
zou	zz
zu	zu
zuan	zr
zui	zv
zun	zy
zuo	zo
zhei	vw
